"TicketID","TicketType","TicketSubject","TicketPriority","TicketChannel","ProductPurchased","CustomerSatisfactionRating","TimetoResolution","FirstResponseTime"
3,Technical issue,Network problem,Low,Social media,Dell XPS,3,"01/06/23 18:05","01/06/23 11:14"
4,Billing inquiry,Account access,Low,Social media,Microsoft Office,3,"01/06/23 1:57","01/06/23 7:29"
5,Billing inquiry,Data loss,Low,Email,Autodesk AutoCAD,1,"01/06/23 19:53","01/06/23 0:12"
11,Cancellation request,Data loss,High,Phone,Nintendo Switch,1,"31/05/23 23:51","01/06/23 17:46"
12,Product inquiry,Software bug,High,Chat,Microsoft Xbox Controller,1,"01/06/23 9:27","01/06/23 12:05"
15,Billing inquiry,Product setup,High,Chat,Sony PlayStation,4,"31/05/23 23:08","01/06/23 6:22"
17,Product inquiry,Account access,Critical,Chat,Xbox,4,"01/06/23 15:58","01/06/23 19:46"
20,Refund request,Software bug,Low,Chat,Canon EOS,5,"01/06/23 20:29","01/06/23 0:46"
29,Technical issue,Product recommendation,Critical,Phone,Fitbit Charge,5,"01/06/23 6:03","31/05/23 23:17"
30,Cancellation request,Cancellation request,Medium,Phone,Xbox,1,"01/06/23 18:23","01/06/23 0:54"
32,Technical issue,Product compatibility,Medium,Social media,GoPro Action Camera,3,"01/06/23 7:16","01/06/23 6:42"
34,Refund request,Hardware issue,Critical,Social media,Autodesk AutoCAD,5,"01/06/23 18:25","01/06/23 2:01"
36,Cancellation request,Product recommendation,High,Chat,GoPro Hero,1,"01/06/23 0:14","01/06/23 7:56"
39,Technical issue,Account access,Critical,Phone,Google Pixel,3,"31/05/23 21:53","01/06/23 18:45"
42,Billing inquiry,Product compatibility,Critical,Chat,Dell XPS,3,"01/06/23 14:43","01/06/23 20:25"
45,Refund request,Product compatibility,Critical,Email,HP Pavilion,2,"01/06/23 3:19","01/06/23 5:58"
47,Refund request,Network problem,High,Phone,Nintendo Switch Pro Controller,1,"01/06/23 9:24","01/06/23 3:43"
48,Technical issue,Software bug,Medium,Social media,GoPro Hero,1,"01/06/23 5:59","01/06/23 7:16"
52,Refund request,Software bug,Medium,Chat,LG Smart TV,3,"01/06/23 10:31","01/06/23 16:21"
53,Refund request,Network problem,High,Social media,Nest Thermostat,3,"01/06/23 20:59","01/06/23 1:54"
54,Cancellation request,Delivery problem,Low,Chat,HP Pavilion,4,"01/06/23 10:25","01/06/23 0:39"
59,Technical issue,Product recommendation,Medium,Phone,Autodesk AutoCAD,5,"01/06/23 4:45","01/06/23 11:56"
60,Product inquiry,Cancellation request,Medium,Chat,Apple AirPods,3,"01/06/23 0:38","01/06/23 19:50"
61,Cancellation request,Product setup,Medium,Chat,Sony 4K HDR TV,1,"01/06/23 11:55","01/06/23 0:18"
63,Billing inquiry,Payment issue,High,Email,Xbox,4,"01/06/23 12:41","31/05/23 23:37"
67,Billing inquiry,Product compatibility,High,Email,GoPro Hero,5,"01/06/23 10:17","01/06/23 5:06"
70,Refund request,Refund request,High,Chat,Canon DSLR Camera,1,"31/05/23 22:51","01/06/23 11:57"
73,Billing inquiry,Display issue,Low,Chat,Dyson Vacuum Cleaner,4,"01/06/23 3:17","01/06/23 4:35"
74,Cancellation request,Payment issue,Critical,Social media,Fitbit Charge,3,"01/06/23 2:24","01/06/23 21:31"
76,Product inquiry,Display issue,Critical,Chat,Roomba Robot Vacuum,1,"01/06/23 2:30","01/06/23 14:43"
78,Billing inquiry,Delivery problem,Low,Email,Fitbit Charge,5,"01/06/23 15:21","01/06/23 19:16"
